customerID,Sum of tenure,PaymentMethod,Sum of MonthlyCharges
2192-CKRLV,72,Electronic check,49.2
2192-OZITF,45,Mailed check,73.55
2193-SFWQW,72,Bank transfer (automatic),111.95
2194-IIQOF,71,Credit card (automatic),89.3
2195-VVRJF,18,Credit card (automatic),59.1
2195-ZRVAX,47,Electronic check,85.3
2197-OMWGI,68,Electronic check,53
2200-DSAAL,68,Electronic check,80.65
2202-CUYXZ,1,Electronic check,84.85
2202-OUTMO,34,Bank transfer (automatic),60.85
2203-GHNWN,24,Mailed check,79.65
2205-LPVGL,58,Bank transfer (automatic),89.85
2205-YMZZJ,7,Electronic check,84.8
2207-NHRJK,1,Electronic check,50.8
2207-OBZNX,7,Mailed check,51
2207-QPJED,37,Electronic check,90
2207-RYYRL,52,Mailed check,24.55
2208-MPXIO,45,Bank transfer (automatic),20
2208-NKVVH,43,Mailed check,24.25
2208-NQBCT,26,Electronic check,81.95
2208-UGTGR,56,Electronic check,98.6
2209-XADXF,1,Bank transfer (automatic),25.25
2211-RMNHO,68,Bank transfer (automatic),85.3
2212-LYASK,27,Credit card (automatic),45.85
2215-ZAFGX,9,Electronic check,85.5
2219-MVUSO,8,Mailed check,45.15
2220-IAHLS,1,Credit card (automatic),19.4
2223-GDSHL,71,Bank transfer (automatic),116.05
2223-KAGMX,15,Bank transfer (automatic),19.4
2225-ZRGSG,70,Bank transfer (automatic),93.9
2226-ICFDO,72,Credit card (automatic),85.9
2227-JRSJX,21,Bank transfer (automatic),99.15
2228-BZDEE,54,Mailed check,20.1
2229-DPMBI,8,Mailed check,19.5
2229-VWQJH,24,Credit card (automatic),49.3
2230-XTUWL,48,Mailed check,19.55
2232-DMLXU,1,Mailed check,55.2
2233-FAGXV,5,Mailed check,24.3
2233-TXSIU,17,Credit card (automatic),44.45
2234-EOFPT,72,Bank transfer (automatic),79.35
2234-XADUH,72,Credit card (automatic),103.2
2235-DWLJU,6,Electronic check,44.4
2235-EZAIK,72,Credit card (automatic),79.2
2235-ZGKPT,4,Mailed check,50.85
2236-HILPA,62,Credit card (automatic),20.65
2237-ZFSMY,39,Electronic check,95.55
2239-CFOUJ,1,Mailed check,20.4
2239-CGBUZ,51,Bank transfer (automatic),60.5
2239-JALAW,58,Bank transfer (automatic),103.25
2240-HSJQD,38,Mailed check,81.85
2242-MFOTG,33,Bank transfer (automatic),80.1
2243-FNMMI,20,Mailed check,19.4
2245-ADZFJ,31,Bank transfer (automatic),80.55
2249-YPRNG,20,Bank transfer (automatic),105.85
2250-IVBWA,64,Electronic check,81.05
2251-PYLPB,72,Credit card (automatic),79.55
2252-ISRNH,9,Electronic check,90.35
2252-JHJGE,61,Electronic check,104
2252-NKNSI,52,Mailed check,85.15
2253-KPMNB,69,Bank transfer (automatic),46.25
2254-DLXRI,1,Mailed check,79.15
2256-YLYLP,68,Bank transfer (automatic),72.95
2257-BOVXD,14,Credit card (automatic),66.6
2259-OUUSZ,7,Credit card (automatic),35.5
2260-USTRB,2,Bank transfer (automatic),70.2
2262-SLNVK,1,Electronic check,70.1
2263-SFSQZ,51,Mailed check,24.95
2265-CYWIV,4,Electronic check,99.6
2266-FUBDZ,15,Mailed check,19.35
2266-SJNAT,72,Credit card (automatic),109.15
2267-FPIMA,50,Credit card (automatic),94.4
2267-WTPYD,57,Credit card (automatic),94
2270-CHBFN,44,Credit card (automatic),95.1
2272-JKMSI,62,Electronic check,110.8
2272-QAGFO,14,Electronic check,74.3
2272-UOINI,7,Electronic check,78.5
2272-WUSPA,72,Electronic check,110.75
2273-QCKXA,1,Mailed check,49.05
2274-XUATA,72,Bank transfer (automatic),63.1
2275-RBYQS,1,Mailed check,45.4
2276-YDAVZ,3,Credit card (automatic),75.1
2277-AXSDC,32,Bank transfer (automatic),19.75
2277-BKJKN,71,Electronic check,99.2
2277-DJJDL,60,Electronic check,99
2277-VWCNI,4,Mailed check,48.75
2279-AXJJK,52,Credit card (automatic),95.65
2282-YGNOR,29,Credit card (automatic),58
2284-VFLKH,49,Credit card (automatic),99.25
2292-XQWSV,40,Mailed check,60.3
2293-IJWPS,57,Credit card (automatic),100.75
2294-DMMUS,62,Credit card (automatic),70.45
2294-SALNE,23,Mailed check,86.8
2296-DKZFP,65,Bank transfer (automatic),71
2300-RQGOI,38,Mailed check,20.05
2302-ANTDP,48,Electronic check,117.45
2302-OUZXB,72,Bank transfer (automatic),82.15
2303-PJYHN,2,Bank transfer (automatic),19.85
2305-MRGLV,28,Bank transfer (automatic),76.55
2307-FYNNL,65,Electronic check,109.05
2308-STERM,2,Mailed check,19.4
2309-OSFEU,10,Mailed check,33.9
2311-QYMUQ,16,Credit card (automatic),89.45
2314-TNDJQ,72,Credit card (automatic),55.65
2316-ESMLS,12,Credit card (automatic),33.15
2320-JRSDE,1,Electronic check,19.9
2320-SLKMB,26,Credit card (automatic),44.45
2320-TZRRH,20,Mailed check,19.5
2320-YKQBO,7,Mailed check,19.3
2321-OMBXY,38,Credit card (automatic),80.3
2322-VCZHZ,23,Electronic check,90
2323-ARSVR,67,Electronic check,111.05
2324-AALNO,48,Bank transfer (automatic),24.55
2324-EFHVG,64,Bank transfer (automatic),104.4
2325-NBPZG,3,Electronic check,74.55
2325-WINES,32,Credit card (automatic),104.05
2325-ZUSFD,57,Bank transfer (automatic),70.1
2330-PQGDQ,51,Bank transfer (automatic),84.2
2332-EFBJY,16,Mailed check,19.7
2332-TODQS,48,Credit card (automatic),25.05
2333-KWEWW,18,Credit card (automatic),20.05
2335-GSODA,23,Mailed check,40.1
2338-BQEZT,55,Credit card (automatic),50.55
2342-CKIAO,2,Mailed check,20.3
2344-JMOGN,9,Mailed check,94.85
2346-CZYIL,27,Credit card (automatic),20.35
2346-DJQTB,35,Electronic check,24.15
2346-LOCWC,58,Credit card (automatic),20.5
2347-WKKAE,42,Electronic check,94.4
2348-KCJLT,44,Mailed check,61.5
2351-BKRZW,43,Bank transfer (automatic),75.2
2351-RRBUE,7,Mailed check,20.65
2357-COQEK,28,Electronic check,103.3
2359-KLTEK,41,Bank transfer (automatic),94.9
2359-KMGLI,24,Electronic check,80.25
2359-QWQUL,39,Credit card (automatic),104.7
2360-RDGRO,65,Electronic check,104.25
2361-FJWNO,40,Credit card (automatic),36
2361-UPSND,46,Mailed check,70.6
2362-IBOOY,36,Electronic check,84.75
2363-BJLSL,62,Bank transfer (automatic),80.4
2364-UFROM,30,Electronic check,70.4
2368-GAKKQ,70,Bank transfer (automatic),113.65
2369-FEVNO,1,Mailed check,19.9
2369-UAPKZ,5,Mailed check,104.1
2371-JQHZZ,24,Electronic check,93
2371-JUNGC,11,Mailed check,20.25
2371-KFUOG,58,Bank transfer (automatic),99.15
2372-HWUHI,2,Electronic check,44.35
2373-NTKOD,8,Electronic check,66.25
2378-HTWFW,35,Credit card (automatic),91
2378-VTKDH,65,Electronic check,104.35
2378-YIZKA,68,Credit card (automatic),85
2379-ENZGV,6,Electronic check,84.85
2379-GYFLQ,46,Credit card (automatic),94.9
2380-DAMQP,72,Electronic check,115.15
2382-BCKQJ,62,Electronic check,100.15
2384-OVPSA,38,Mailed check,20.2
2386-LAHRK,1,Mailed check,53.5
2386-OWURY,58,Electronic check,95.3
2387-KDZQY,17,Mailed check,20.1
2388-LAESQ,72,Bank transfer (automatic),114.85
2391-IPLOP,50,Electronic check,69.65
2391-SOORI,4,Electronic check,49.35
2393-DIVAI,3,Mailed check,20
2397-BRLOM,8,Credit card (automatic),80.45
2398-YPMUR,13,Electronic check,70.15
2400-FEQME,55,Mailed check,20.5
2400-XIWIO,71,Electronic check,90.1
2402-TAIRZ,37,Electronic check,80.05
2403-BCASL,41,Electronic check,111.95
2404-JIBFC,55,Bank transfer (automatic),85.1
2405-LBMUW,61,Bank transfer (automatic),50.7
2408-PSJVE,44,Mailed check,61.9
2408-TZMJL,59,Electronic check,110.15
2408-WITXK,10,Electronic check,34.7
2410-CIYFZ,2,Mailed check,20.4
2418-TPEUN,56,Credit card (automatic),19.8
2419-FSORS,72,Electronic check,108.4
2424-WVHPL,1,Electronic check,74.7
2428-HYUNX,44,Credit card (automatic),19.35
2428-ZMCTB,10,Credit card (automatic),19.75
2429-AYKKO,72,Bank transfer (automatic),19.85
2430-RRYUW,66,Mailed check,54.8
2430-USGXP,24,Electronic check,101.05
2432-TFSMK,18,Credit card (automatic),89.6
2433-KMEAS,22,Electronic check,54.45
2434-EEVDB,64,Credit card (automatic),94.6
2436-QBZFP,22,Electronic check,39.2
2439-LYPMQ,38,Electronic check,102.6
2439-QKJUL,5,Mailed check,20.25
2446-BEGGB,6,Electronic check,98.25
2446-PLQVO,1,Electronic check,70.3
2446-ZKVAF,18,Credit card (automatic),56.8
2450-ZKEED,11,Bank transfer (automatic),53.8
2451-YMUXS,67,Bank transfer (automatic),64.55
2452-KDRRH,67,Credit card (automatic),101.4
2452-MRMZF,72,Credit card (automatic),25.7
2452-SNHFZ,47,Credit card (automatic),75.45
2453-SAFNS,54,Mailed check,72.1
2454-RPBRZ,12,Electronic check,98.1
2455-USLMV,31,Credit card (automatic),84.75
2458-EOMRE,11,Bank transfer (automatic),64.05
2460-FPSYH,40,Electronic check,55.8
2460-NGXBJ,11,Credit card (automatic),75.2
2462-XIIJB,5,Electronic check,92.5
2465-BLLEU,1,Mailed check,19.75
2466-FCCPT,20,Bank transfer (automatic),19.7
2466-NEJOJ,8,Credit card (automatic),19.65
2468-SJFLM,1,Mailed check,74.3
2469-DTSGX,72,Electronic check,111.65
2472-OVKUP,6,Electronic check,91
2474-BRUCM,40,Electronic check,101.85
2474-LCNUE,23,Credit card (automatic),73.65
2475-MROZF,30,Credit card (automatic),95
2476-YGEFM,29,Credit card (automatic),76
2478-EEWWM,59,Electronic check,44.3
2479-BRAMR,41,Bank transfer (automatic),83.75
2480-EJWYP,58,Bank transfer (automatic),97.8
2480-JZOSN,1,Mailed check,20.65
2480-SQIOB,4,Electronic check,44.8
2481-SBOYW,61,Credit card (automatic),25
2482-CZGBB,10,Electronic check,70
2483-XSSMZ,39,Electronic check,47.85
2484-DGXPZ,31,Mailed check,19.55
2485-ITVKB,2,Electronic check,35.1
2486-WYVVE,31,Mailed check,79.3
2495-INZWQ,4,Electronic check,44.55
2495-KZNFB,33,Electronic check,90.65
2495-TTHBQ,4,Mailed check,20.4
2498-XLDZR,32,Mailed check,73.6
2499-AJYUA,72,Credit card (automatic),110.8
2501-XWWTZ,11,Electronic check,70.2
2504-DSHIH,23,Electronic check,86.8
2506-CLAKW,6,Bank transfer (automatic),98.15
2506-TNFCO,1,Electronic check,69.55
2507-QZPQS,15,Electronic check,95.7
2509-TFPJU,72,Credit card (automatic),25.75
2511-ALLCS,35,Bank transfer (automatic),24.3
2511-MORQY,50,Bank transfer (automatic),54.9
2514-GINMM,1,Electronic check,79.5
2516-VQRRV,2,Mailed check,75.45
2516-XSJKX,41,Electronic check,78.45
2519-ERQOJ,33,Electronic check,54.6
2519-FAKOD,38,Bank transfer (automatic),99.25
2519-LBNQL,60,Electronic check,104.35
2519-TWKFS,25,Mailed check,55.1
2520-SGTTA,0,Mailed check,20
2521-NPUZR,70,Credit card (automatic),101
2522-AHJXR,60,Bank transfer (automatic),109.45
2522-WLNSF,34,Bank transfer (automatic),64.2
2523-EWWZL,27,Electronic check,76.1
2525-GVKQU,60,Mailed check,20.6
2528-HFYZX,17,Electronic check,76.45
2530-ENDWQ,71,Bank transfer (automatic),93.7
2530-FMFXO,56,Electronic check,103.2
2533-QVMSK,61,Electronic check,94.1
2533-TIBIX,15,Bank transfer (automatic),30.2
2535-PBCGC,70,Bank transfer (automatic),64.55
2538-OIMXF,1,Mailed check,24.7
2541-YGPKE,42,Credit card (automatic),63.7
2542-HYGIQ,1,Credit card (automatic),19.95
2545-EBUPK,2,Electronic check,84.05
2545-LXYVJ,72,Bank transfer (automatic),20.7
2546-KZAAT,52,Mailed check,75.4
2550-AEVRU,57,Electronic check,53.45
2550-QHZGP,7,Mailed check,19.5
2558-BUOZZ,47,Bank transfer (automatic),94.8
2560-PPCHE,65,Bank transfer (automatic),105.05
2560-QTSBS,72,Bank transfer (automatic),23.3
2560-WBWXF,68,Bank transfer (automatic),24.15
2565-JSLRY,1,Mailed check,24.05
2568-BRGYX,4,Electronic check,70.2
2568-OIADY,37,Electronic check,99.5
2569-WGERO,72,Bank transfer (automatic),21.15
2573-GYRUU,48,Credit card (automatic),91.05
2575-GFSOE,7,Electronic check,69
2576-HXMPA,1,Credit card (automatic),19.55
2577-GVSIL,35,Bank transfer (automatic),73.45
2578-JQPHZ,44,Bank transfer (automatic),100.1
2580-ASVVY,37,Electronic check,45.4
2580-ATZSQ,65,Bank transfer (automatic),61.35
2581-VKIRT,59,Mailed check,65.5
2582-FFFZR,22,Electronic check,50.6
2585-KTFRE,1,Bank transfer (automatic),70.45
2586-CWXVV,54,Electronic check,30.4
2587-EKXTS,44,Electronic check,111.5
2587-YNLES,6,Mailed check,20.1
2589-AYCRP,50,Bank transfer (automatic),19.75
2592-HODOV,13,Credit card (automatic),19.3
2592-SEIFQ,3,Electronic check,24.75
2592-YKDIF,1,Mailed check,20.35
2595-KIWPV,27,Credit card (automatic),19.7
2599-CIPQE,71,Credit card (automatic),109.3
2599-CZABP,14,Electronic check,44.6
2603-HVKCG,31,Electronic check,101.4
2604-IJPDU,20,Electronic check,96.55
2604-XVDAM,12,Bank transfer (automatic),43.8
2606-PKWJB,40,Mailed check,40.25
2606-RMDHZ,6,Credit card (automatic),30.5
2607-DHDAK,72,Credit card (automatic),19.8
2607-FBDFF,1,Credit card (automatic),49
2608-BHKFN,4,Credit card (automatic),70.05
2609-IAICY,1,Electronic check,77.15
2612-PHGOX,64,Bank transfer (automatic),76.1
2612-RANWT,12,Bank transfer (automatic),100.15
2612-RRIDN,4,Electronic check,81
2615-YVMYX,71,Electronic check,107.5
2616-FLVQC,64,Mailed check,19.55
2616-UUTFK,33,Bank transfer (automatic),72.75
2619-WFQWU,1,Mailed check,70.15
2621-UDNLU,3,Mailed check,20.85
2623-DRYAM,70,Electronic check,101.75
2625-TRCZQ,51,Electronic check,49.65
2626-URJFX,4,Electronic check,50.9
2626-VEEWG,67,Credit card (automatic),19.4
2632-IVXVF,68,Credit card (automatic),111.75
2632-TACXW,62,Bank transfer (automatic),23.65
2632-UCGVD,66,Credit card (automatic),100.05
2634-HCZGT,53,Electronic check,60.05
2636-ALXXZ,1,Electronic check,69.6
2636-OHFMN,4,Electronic check,48.55
2636-SJDOU,64,Credit card (automatic),84.3
2637-FKFSY,3,Mailed check,46.1
2639-UGMAZ,71,Electronic check,56.45
2640-LYMOV,2,Mailed check,19.65
2640-PMGFL,27,Electronic check,79.5
2642-DTVCO,9,Electronic check,85.05
2642-MAWLJ,36,Bank transfer (automatic),20.25
2645-QTLMB,7,Electronic check,94.25
2649-HWLYB,65,Bank transfer (automatic),76.15
2650-GYRYL,33,Bank transfer (automatic),19.45
2651-ZCBXV,54,Credit card (automatic),108
2654-VBVPB,1,Bank transfer (automatic),19.9
2656-FMOKZ,15,Mailed check,74.45
2656-TABEH,4,Electronic check,100.2
2657-ALMWY,26,Electronic check,84.95
2657-VPXTA,10,Electronic check,88.85
2659-VXMWZ,67,Electronic check,111.3
2660-EMUBI,10,Electronic check,95.35
2661-GKBTK,60,Bank transfer (automatic),76.95
2662-NNTDK,65,Credit card (automatic),24.8
2664-XJZNO,72,Credit card (automatic),104.9
2665-NPTGL,26,Bank transfer (automatic),98.1
2667-WYLWJ,8,Mailed check,19.75
2668-TZSPS,1,Mailed check,20.45
2669-OIDSD,48,Credit card (automatic),100.05
2669-QVCRG,41,Credit card (automatic),81.3
2672-DZUOY,1,Electronic check,25.15
2672-HUYVI,6,Electronic check,91.1
2672-OJQZP,1,Mailed check,44.75
2672-TGEFF,37,Electronic check,88.8
2673-CXQEU,56,Electronic check,110.5
2673-ZALNP,7,Mailed check,19.9
2674-MIAHT,4,Mailed check,80.3
2674-MLXMN,71,Credit card (automatic),99.65
2675-DHUTR,58,Electronic check,98.9
2675-IJRGJ,53,Bank transfer (automatic),19.65
2675-OTVVJ,31,Electronic check,89.45
2676-ISHSF,1,Mailed check,20.3
2676-OXPPQ,6,Bank transfer (automatic),55.7
2676-SSLTO,49,Bank transfer (automatic),66.15
2680-XKKNJ,8,Bank transfer (automatic),58.2
2682-KEVRP,22,Mailed check,20.05
2683-BPJSO,29,Electronic check,84.45
2683-JXWQQ,61,Bank transfer (automatic),33.6
2684-EIWEO,30,Credit card (automatic),91.7
2685-SREOM,25,Electronic check,89.1
2688-BHGOG,9,Electronic check,79.55
2690-DVRVK,5,Electronic check,20.55
2691-NZETQ,9,Electronic check,85.35
2692-AQCPF,65,Credit card (automatic),108.05
2692-BUCFV,29,Bank transfer (automatic),101.45
2692-PFYTJ,1,Mailed check,25.75
2694-CIUMO,12,Credit card (automatic),79.55
2696-ECXKC,55,Mailed check,100.9
2696-NARTR,11,Electronic check,73.85
2696-RZVZW,68,Credit card (automatic),25.05
2697-NQBPF,34,Electronic check,105.35
2700-LUEVA,1,Credit card (automatic),20.75
2703-AMTUL,36,Mailed check,53.65
2706-QZIHY,15,Mailed check,25.2
2709-UQGNP,10,Mailed check,51.65
2710-WYVXG,3,Mailed check,71.1
2712-SYWAY,1,Electronic check,25.7
2716-GFZOR,43,Credit card (automatic),86.1
2717-HVIZY,8,Mailed check,20.05
2718-GAXQD,4,Electronic check,46
2718-YSKCS,71,Bank transfer (automatic),19.6
2719-BDAQO,17,Electronic check,93.85
2720-FVBQP,6,Credit card (automatic),48.95
2720-WGKHP,2,Electronic check,94
2722-JMONI,1,Electronic check,49.55
2722-VOJQL,64,Credit card (automatic),105.65
2724-FJDYW,39,Bank transfer (automatic),54.85
2725-IWWBA,46,Mailed check,56.9
2725-KXXWT,1,Electronic check,90.75
2725-TTRIQ,72,Bank transfer (automatic),84.2
2729-VNVAP,33,Credit card (automatic),19.8
2731-GJRDG,32,Bank transfer (automatic),109.55
2732-ISEZX,5,Mailed check,20.5
2737-WFVYW,2,Electronic check,45.25
2737-YNGYW,2,Electronic check,80.55
2739-CACDQ,17,Credit card (automatic),82.65
2739-CCZMB,5,Credit card (automatic),20.35
2740-JFBOK,10,Electronic check,24
2740-TVLFN,1,Electronic check,50.15
2746-DIJLO,41,Credit card (automatic),56.3
2748-MYRVK,63,Bank transfer (automatic),99.9
2749-CTKAJ,22,Mailed check,20.15
2750-BJLSB,47,Electronic check,103.7
2753-JMMCV,65,Credit card (automatic),74.2
2754-SDJRD,8,Credit card (automatic),100.15
2754-VDLTR,10,Electronic check,95.2
2754-XBHTB,9,Bank transfer (automatic),77.65
2758-RNWXS,35,Electronic check,89.2
2761-OCIAX,2,Electronic check,74.7
2761-XECQW,8,Mailed check,43.35
2770-NSVDG,24,Electronic check,29.1
2773-MADBQ,36,Mailed check,53.1
2773-OVBPK,67,Bank transfer (automatic),111.3
2774-LVQUS,15,Electronic check,83.05
2775-SEFEE,0,Bank transfer (automatic),61.9
2777-PHDEI,1,Electronic check,78.05
2778-OCLGR,24,Bank transfer (automatic),39.1
2782-JEEBU,21,Mailed check,36
2782-LFZVW,11,Mailed check,58.95
2786-GCDPI,50,Electronic check,104.95
2788-CJQAQ,13,Mailed check,19.45
2789-CZANW,64,Bank transfer (automatic),110.3
2789-HQBOU,3,Electronic check,80.35
2790-XUYMV,71,Credit card (automatic),85.45
2791-SFVEW,9,Bank transfer (automatic),20.15
2792-LSHWX,1,Mailed check,83.4
2792-VPPET,3,Electronic check,20.5
2794-XIMMO,53,Electronic check,60.45
2796-NNUFI,46,Mailed check,19.95
2796-UUZZO,63,Credit card (automatic),80.3
2798-NYLMZ,71,Credit card (automatic),108.55
2799-ARNLO,5,Electronic check,69.35
2799-TSLAG,65,Bank transfer (automatic),25.3
2800-QQUSO,42,Electronic check,100.3
2800-VEQXM,3,Mailed check,74.75
2801-NISEI,24,Electronic check,54.95
2804-ETQDK,66,Mailed check,20.55
2805-AUFQN,25,Credit card (automatic),19.8
2805-EDJPQ,56,Credit card (automatic),99.75
2806-MLNTI,52,Bank transfer (automatic),105.1
2808-CHTDM,23,Mailed check,25.1
2809-ILCYT,25,Mailed check,26.8
2809-ZMYOQ,32,Electronic check,101.35
2810-FTLEM,16,Electronic check,50.15
2811-POVEX,23,Bank transfer (automatic),88.45
2812-ENYMO,26,Credit card (automatic),54.55
2812-REYAT,49,Bank transfer (automatic),20.05
2812-SFXMJ,1,Mailed check,20.05
2815-CPTUL,5,Mailed check,70.25
2817-LVCPP,50,Credit card (automatic),19.4
2817-NTQDO,13,Credit card (automatic),45.55
2819-GWENI,28,Mailed check,19.9
2821-WARNZ,49,Credit card (automatic),19.45
2823-LKABH,18,Bank transfer (automatic),95.05
2824-DXNKN,72,Bank transfer (automatic),71.45
2824-MYYBN,37,Electronic check,95.25
2826-DXLQO,7,Bank transfer (automatic),29.8
2826-UWHIS,45,Bank transfer (automatic),81.4
2828-SLQPF,19,Bank transfer (automatic),45
2829-HYVZP,29,Mailed check,19.8
2830-LEWOA,61,Credit card (automatic),103.9
2831-EBWRN,4,Electronic check,45.9
2832-KJCRD,38,Electronic check,103.65
2832-SCUCO,2,Electronic check,19.9
2833-SLKDQ,1,Mailed check,45.05
2834-JKOOW,15,Mailed check,45.9
2834-JRTUA,71,Electronic check,108.05
2834-SPCJV,52,Electronic check,84.1
2839-RFSQE,2,Mailed check,20.65
2840-XANRC,24,Electronic check,93.15
2842-BCQGE,43,Credit card (automatic),75.35
2842-JTCCU,2,Bank transfer (automatic),46.05
2843-CQMEG,24,Mailed check,49.7
2845-AFFTX,41,Electronic check,99.8
2845-HSJCY,14,Electronic check,87.25
2845-KDHVX,64,Mailed check,68.3
2848-YXSMW,72,Credit card (automatic),19.4
2851-MMUTZ,27,Mailed check,56.15
2851-STERV,35,Electronic check,73
2853-CWQFQ,1,Mailed check,59.55
2856-HYAPG,1,Electronic check,68.65
2856-NNASM,43,Mailed check,89.55
2858-EIMXH,53,Credit card (automatic),95.85
2858-MOFSQ,17,Mailed check,55.85
2860-RANUS,20,Credit card (automatic),85.8
2862-JVEOY,6,Mailed check,19.15
2862-PFNIK,1,Electronic check,24.7
2863-IMQDR,61,Electronic check,89.65
2865-TCHJW,4,Electronic check,89.2
2866-IKBTM,1,Mailed check,19.55
2867-UIMSS,1,Electronic check,80.5
2868-LLSKM,68,Bank transfer (automatic),83.65
2868-MZAGQ,1,Electronic check,79.25
2868-SNELZ,2,Mailed check,80.6
2869-ADAWR,45,Credit card (automatic),89.3
2873-ZLIWT,40,Electronic check,84.85
2874-YXVVA,34,Electronic check,105.1
2876-GZYZC,13,Electronic check,85.95
2876-VBBBL,1,Mailed check,20.25
2877-VDUER,35,Mailed check,40.9
2878-DHMIN,35,Electronic check,19.9
2878-RMWXY,72,Credit card (automatic),102.65
2880-FPNAE,2,Electronic check,74.2
2882-DDZPG,12,Bank transfer (automatic),19.45
2882-WDTBA,69,Bank transfer (automatic),75.75
2883-ILGWO,57,Bank transfer (automatic),104.9
2884-GBPFB,35,Electronic check,70.3
2885-HIJDH,69,Bank transfer (automatic),86.9
2886-KEFUM,63,Electronic check,107.5
2887-JPYLU,41,Bank transfer (automatic),45.2
2888-ADFAO,47,Bank transfer (automatic),21.3
2889-FPWRM,72,Bank transfer (automatic),117.8
2890-WFBHU,59,Credit card (automatic),79.85
2892-GESUL,18,Mailed check,19.35
2894-QOJRX,25,Bank transfer (automatic),34
2896-TBNBE,40,Electronic check,80.8
2897-DOVND,2,Electronic check,69.8
2898-LSJGD,21,Electronic check,55.95
2898-MRKPI,68,Credit card (automatic),101.05
2900-PHPLN,70,Credit card (automatic),19.55
2903-YYTBW,1,Electronic check,44.55
2904-GGUAZ,72,Bank transfer (automatic),84.05
2905-KFQUV,2,Credit card (automatic),70.4
2907-ILJBN,11,Mailed check,20.6
2908-WGAXL,56,Credit card (automatic),24.95
2908-ZTPNF,36,Bank transfer (automatic),34.85
2911-IJORQ,37,Bank transfer (automatic),90.6
2911-UREFD,39,Electronic check,55.9
2911-WDXMV,18,Credit card (automatic),80.55
2916-BQZLN,19,Electronic check,84.75
2919-HBCJO,4,Bank transfer (automatic),76.65
2920-RNCEZ,1,Credit card (automatic),69.95
2921-XWDJH,38,Electronic check,83.45
2923-ARZLG,0,Mailed check,19.7
2924-KHUVI,56,Electronic check,100.55
2925-MXLSX,30,Credit card (automatic),68.95
2925-VDZHY,72,Credit card (automatic),88.7
2926-JEJJC,8,Bank transfer (automatic),20.2
2927-CVULT,53,Bank transfer (automatic),104.05
2927-QRRQV,46,Electronic check,94.65
2928-HLDBA,6,Mailed check,20.7
2929-ERCFZ,8,Electronic check,94.2
2929-QNSRW,56,Electronic check,98.25
2930-UOTMB,31,Credit card (automatic),65.25
2931-FSOHN,13,Electronic check,59.9
2931-SVLTV,40,Credit card (automatic),110.1
2931-VUVJN,59,Electronic check,94.05
2931-XIQBR,50,Mailed check,103.05
2933-FILNV,2,Mailed check,24.4
2933-XEUJM,46,Mailed check,79.2
2937-FTHUR,18,Electronic check,64.8
2946-KIQSP,35,Mailed check,33.45
2947-DOMLJ,1,Mailed check,50.6
2951-QOQTK,4,Credit card (automatic),80.8
2952-QAYZF,5,Electronic check,85.3
2954-PIBKO,69,Credit card (automatic),64.15
2955-BJZHG,17,Electronic check,80.85
2955-PSXOE,1,Bank transfer (automatic),20.2
2956-GGUCQ,24,Electronic check,78.85
2957-JIRMN,62,Electronic check,84.45
2957-LOLHO,12,Bank transfer (automatic),45.4
2958-NHPPS,23,Electronic check,20.85
2959-EEXWB,45,Bank transfer (automatic),50.9
2959-FENLU,9,Credit card (automatic),85.3
2959-MJHIC,4,Electronic check,80.35
2960-NKRSO,24,Electronic check,85.95
2961-VNFKL,71,Credit card (automatic),25.95
2962-XPMCQ,2,Electronic check,45.15
2967-MXRAV,1,Mailed check,18.8
2968-SSGAA,10,Electronic check,100.6
2969-QWUBZ,2,Electronic check,51.4
2969-VAPYH,67,Credit card (automatic),60.5
2969-WGHQO,7,Electronic check,69.45
2971-SGAFL,13,Electronic check,78.75
2972-YDYUW,57,Electronic check,94.7
2974-GGUXS,36,Credit card (automatic),91.95
2977-CEBSX,66,Credit card (automatic),90.05
2978-XXSOG,22,Mailed check,59.05
2979-SXESE,17,Electronic check,94.4
2982-IHMFT,1,Mailed check,74.45
2982-VPSGI,11,Electronic check,94
2983-ZANRP,2,Bank transfer (automatic),73.55
2984-AFWNC,3,Electronic check,95.4
2984-MIIZL,4,Bank transfer (automatic),74.8
2984-RGEYA,69,Bank transfer (automatic),19.75
2984-TBYKU,72,Credit card (automatic),104.9
2985-FMWYF,23,Electronic check,93.5
2985-JUUBZ,40,Electronic check,74.55
2987-BJXIK,70,Mailed check,84.7
2988-GBIVW,70,Electronic check,90.85
2988-PLAHS,3,Electronic check,69.95
2988-QRAJY,69,Credit card (automatic),110.05
2990-HWIML,6,Electronic check,89.5
2990-IAJSV,72,Bank transfer (automatic),92
2990-OGYTD,67,Bank transfer (automatic),86.15
2995-UPRYS,40,Credit card (automatic),99.2
2995-YWTCD,19,Bank transfer (automatic),24.9
2996-XAUVF,70,Mailed check,40.05
2999-AANRQ,21,Credit card (automatic),71.05
3001-CBHLQ,32,Electronic check,104.9
3001-UNBTL,29,Electronic check,103.95
3002-WQZWT,29,Electronic check,74.2
3003-CMDUU,25,Electronic check,95.15
3005-NFMTA,55,Electronic check,98.8
3005-TYFRD,55,Credit card (automatic),103.65
3006-XIMLN,2,Bank transfer (automatic),94.2
3007-FDPEA,2,Bank transfer (automatic),20.7
3009-JWMPU,62,Electronic check,96.75
3011-WQKSZ,19,Electronic check,20
3012-VFFMN,7,Mailed check,20.65
3014-WJKSM,29,Credit card (automatic),75.3
